NM_000014	A2MG_HUMAN	P01023
NM_000804	A0A087WXL1_HUMAN	A0A087WXL1
NM_000804	FOLR3_HUMAN	P41439
NM_000805	A0A0E3VY36_HUMAN	A0A0E3VY36
NM_000805	GAST_HUMAN	P01350
NM_000806	A8K177_HUMAN	A8K177
NM_000808	GBRA3_HUMAN	P34903
NM_000809	X5D7F5_HUMAN	X5D7F5
NM_000811	GBRA6_HUMAN	Q16445
NM_000812	GBRB1_HUMAN	P18505
NM_000812	X5DNL6_HUMAN	X5DNL6
NM_000815	A8K496_HUMAN	A8K496
NM_000815	GBRD_HUMAN	O14764
NM_000817	Q8IVA8_HUMAN	Q8IVA8
NM_000820	GAS6_HUMAN	Q14393
NM_000823	A0A090N8Y6_HUMAN	A0A090N8Y6
NM_000823	GHRHR_HUMAN	Q02643
NM_000831	GRIK3_HUMAN	Q13003
NM_000834	NMDE2_HUMAN	Q13224
NM_000835	O15398_HUMAN	O15398
NM_000835	NMDE3_HUMAN	Q14957
NM_000836	NMDE4_HUMAN	O15399
NM_000836	Q59G17_HUMAN	Q59G17
NM_000840	A4D1D0_HUMAN	A4D1D0
NM_000840	GRM3_HUMAN	Q14832
NM_000841	A1L4F9_HUMAN	A1L4F9
NM_000842	A8K5P7_HUMAN	A8K5P7
NM_000843	GRM6_HUMAN	O15303
NM_000844	Q59G95_HUMAN	Q59G95
NM_000846	A8K987_HUMAN	A8K987
NM_000846	GSTA2_HUMAN	P09210
NM_000847	GSTA3_HUMAN	Q16772
NM_000849	GSTM3_HUMAN	P21266
NM_000849	Q6FGJ9_HUMAN	Q6FGJ9
NM_000851	GSTM5_HUMAN	P46439
NM_000851	Q5T8R2_HUMAN	Q5T8R2
NM_000852	GSTP1_HUMAN	P09211
NM_000852	V9HWE9_HUMAN	V9HWE9
NM_000854	GST2_HUMAN	P0CG29
NM_000859	A0A024RAP2_HUMAN	A0A024RAP2
NM_000862	3BHS1_HUMAN	P14060
NM_000863	5HT1B_HUMAN	P28222
NM_000863	X5D7I5_HUMAN	X5D7I5
NM_000864	5HT1D_HUMAN	P28221
NM_000865	5HT1E_HUMAN	P28566
NM_000866	5HT1F_HUMAN	P30939
NM_000867	5HT2B_HUMAN	P41595
NM_000871	5HT6R_HUMAN	P50406
NM_000876	MPRI_HUMAN	P11717
NM_000878	IL2RB_HUMAN	P14784
NM_000879	IL5_HUMAN	P05113
NM_000882	O60595_HUMAN	O60595
NM_000882	IL12A_HUMAN	P29459
NM_000883	B3KRZ3_HUMAN	B3KRZ3
NM_000884	IMDH2_HUMAN	P12268
NM_000885	ITA4_HUMAN	P13612
NM_000889	ITB7_HUMAN	P26010
NM_000890	KCNJ5_HUMAN	P48544
NM_000891	KCNJ2_HUMAN	P63252
NM_000892	KLKB1_HUMAN	P03952
NM_000894	A0A0F7RQE6_HUMAN	A0A0F7RQE6
NM_000894	LSHB_HUMAN	P01229
NM_000896	A0A024R7J8_HUMAN	A0A024R7J8
NM_000898	AOFB_HUMAN	P27338
NM_000899	A0A024RBC0_HUMAN	A0A024RBC0
NM_000900	A0A024RAX0_HUMAN	A0A024RAX0
NM_000901	B0ZBF6_HUMAN	B0ZBF6
NM_000905	A4D158_HUMAN	A4D158
NM_000905	NPY_HUMAN	P01303
NM_000906	ANPRA_HUMAN	P16066
NM_000908	Q60I31_HUMAN	Q60I31
NM_000909	NPY1R_HUMAN	P25929
NM_000910	NPY2R_HUMAN	P49146
NM_000911	OPRD_HUMAN	P41143
NM_000915	NEU1_HUMAN	P01178
NM_000915	X5D7M6_HUMAN	X5D7M6
NM_000916	B2R9L7_HUMAN	B2R9L7
NM_000916	OXYR_HUMAN	P30559
NM_000917	Q5VSQ6_HUMAN	Q5VSQ6
NM_000918	A0A024R8S5_HUMAN	A0A024R8S5
NM_000918	PDIA1_HUMAN	P07237
NM_000921	PDE3A_HUMAN	Q14432
NM_000922	A7E2E5_HUMAN	A7E2E5
NM_000922	PDE3B_HUMAN	Q13370
NM_000923	O43849_HUMAN	O43849
NM_000924	A0A024RB59_HUMAN	A0A024RB59
NM_000927	A4D1D2_HUMAN	A4D1D2
NM_000927	MDR1_HUMAN	P08183
NM_000928	PA21B_HUMAN	P04054
NM_000929	PA2G5_HUMAN	P39877
NM_000936	LIPP_HUMAN	P16233
NM_000937	A0A0C4DGZ0_HUMAN	A0A0C4DGZ0
NM_000937	RPB1_HUMAN	P24928
NM_000939	Q6FHC8_HUMAN	Q6FHC8
NM_000940	PON3_HUMAN	Q15166
NM_000941	NCPR_HUMAN	P16435
NM_000942	PPIB_HUMAN	P23284
NM_000943	PPIC_HUMAN	P45877
NM_000945	CANB1_HUMAN	P63098
NM_000946	PRI1_HUMAN	P49642
NM_000951	TMG2_HUMAN	O14669
NM_000954	A0A024R8G3_HUMAN	A0A024R8G3
NM_000954	PTGDS_HUMAN	P41222
NM_000955	PE2R1_HUMAN	P34995
NM_000956	PE2R2_HUMAN	P43116
NM_000958	A0PJF5_HUMAN	A0PJF5
NM_000958	PE2R4_HUMAN	P35408
NM_000960	PI2R_HUMAN	P43119
NM_000961	PTGIS_HUMAN	Q16647
NM_000963	PGH2_HUMAN	P35354
NM_000966	A8K3H3_HUMAN	A8K3H3
NM_000967	RL3_HUMAN	P39023
NM_000968	RL4_HUMAN	P36578
NM_000969	A2RUM7_HUMAN	A2RUM7
NM_000969	RL5_HUMAN	P46777
NM_000971	RL7_HUMAN	P18124
NM_000972	RL7A_HUMAN	P62424
NM_000975	Q5VVD0_HUMAN	Q5VVD0
NM_000976	RL12_HUMAN	P30050
NM_000978	A0A024R1Q8_HUMAN	A0A024R1Q8
NM_000978	RL23_HUMAN	P62829
NM_000979	A0A024QZD1_HUMAN	A0A024QZD1
NM_000980	RL18A_HUMAN	Q02543
NM_000981	RL19_HUMAN	P84098
NM_000982	RL21_HUMAN	P46778
NM_000982	Q6IAX2_HUMAN	Q6IAX2
NM_000983	RL22_HUMAN	P35268
NM_000984	RL23A_HUMAN	P62750
NM_000986	RL24_HUMAN	P83731
NM_000986	V9HW01_HUMAN	V9HW01
NM_000987	RL26_HUMAN	P61254
NM_000988	A0A024R1V4_HUMAN	A0A024R1V4
NM_000988	RL27_HUMAN	P61353
NM_000989	A0A024R9D3_HUMAN	A0A024R9D3
NM_000989	RL30_HUMAN	P62888
NM_000990	RL27A_HUMAN	P46776
NM_000992	RL29_HUMAN	P47914
NM_000996	RL35A_HUMAN	P18077
NM_000997	RL37_HUMAN	P61927
NM_000998	RL37A_HUMAN	P61513
NM_001000	RL39_HUMAN	P62891
NM_001001	RL36L_HUMAN	Q969Q0
NM_001001317	PRS58_HUMAN	Q8IYP2
NM_001001325	M1EY23_HUMAN	M1EY23
NM_001001325	ISK14_HUMAN	Q6IE38
NM_001001330	REEP3_HUMAN	Q6NUK4
NM_001001330	X5DR89_HUMAN	X5DR89
NM_001001331	A0A024R2K6_HUMAN	A0A024R2K6
NM_001001331	Q4J699_HUMAN	Q4J699
NM_001001343	FNDC9_HUMAN	Q8TBE3
NM_001001346	CLD20_HUMAN	P56880
NM_001001394	DNJB3_HUMAN	Q8WWF6
NM_001001410	TSR3_HUMAN	Q9UJK0
NM_001001411	ZN676_HUMAN	Q8N7Q3
NM_001001412	CAHM1_HUMAN	Q8IU99
NM_001001413	A0A087WU96_HUMAN	A0A087WU96
NM_001001414	FBX50_HUMAN	Q6ZVX7
NM_001001415	ZN429_HUMAN	Q86V71
NM_001001417	TBC3B_HUMAN	A6NDS4
NM_001001432	A0A0A0MRJ5_HUMAN	A0A0A0MRJ5
NM_001001432	Q15607_HUMAN	Q15607
NM_001001436	CP087_HUMAN	Q6PH81
NM_001001479	S35E4_HUMAN	Q6ICL7
NM_001001480	KRA55_HUMAN	Q701N2
NM_001001481	X6REH9_HUMAN	X6REH9
NM_001001523	F1D8P6_HUMAN	F1D8P6
NM_001001524	Q8N8A7_HUMAN	Q8N8A7
NM_001001524	TM6S2_HUMAN	Q9BZW4
NM_001001557	GDF6_HUMAN	Q6KF10
NM_001001563	A0A024R0M6_HUMAN	A0A024R0M6
NM_001001563	TIM50_HUMAN	Q3ZCQ8
NM_001001656	OR9A4_HUMAN	Q8NGU2
NM_001001657	OR2Y1_HUMAN	Q8NGV0
NM_001001658	OR9A2_HUMAN	Q8NGT5
NM_001001659	O2A14_HUMAN	Q96R47
NM_001001660	LYRM5_HUMAN	Q6IPR1
NM_001001661	A0A090N7U3_HUMAN	A0A090N7U3
NM_001001661	ZN425_HUMAN	Q6IV72
NM_001001662	ZN782_HUMAN	Q6ZMW2
NM_001001663	A0A0C4DG04_HUMAN	A0A0C4DG04
NM_001001663	TM211_HUMAN	Q6ICI0
NM_001001664	SPOPL_HUMAN	Q6IQ16
NM_001001665	A0A024RAI7_HUMAN	A0A024RAI7
NM_001001665	C27C1_HUMAN	Q4G0S4
NM_001001667	OR6V1_HUMAN	Q8N148
NM_001001668	ZN470_HUMAN	Q6ECI4
NM_001001669	ARH37_HUMAN	A1IGU5
NM_001001670	S31D1_HUMAN	Q6ZQQ2
NM_001001671	M3K15_HUMAN	Q6ZN16
NM_001001674	O4F15_HUMAN	Q8NGB8
NM_001001676	LCN9_HUMAN	Q8WX39
NM_001001676	V9HWI8_HUMAN	V9HWI8
NM_001001694	I17EL_HUMAN	Q6ZVW7
NM_001001709	CI170_HUMAN	A2RU37
NM_001001710	F166A_HUMAN	Q6J272
NM_001001711	DDI1_HUMAN	Q8WTU0
NM_001001712	LCN10_HUMAN	Q6JVE6
NM_001001786	BLID_HUMAN	Q8IZY5
NM_001001788	RET1G_HUMAN	Q6H3X3
NM_001001791	CJ055_HUMAN	Q5SWW7
NM_001001794	DEN6B_HUMAN	Q8NEG7
NM_001001795	CH082_HUMAN	Q6P1X6
NM_001001821	O2T34_HUMAN	Q8NGX1
NM_001001824	O2T27_HUMAN	Q8NH04
NM_001001827	O2T35_HUMAN	Q8NGX2
NM_001001850	STX19_HUMAN	Q8N4C7
NM_001001851	G5E9D8_HUMAN	G5E9D8
NM_001001851	Q96JW9_HUMAN	Q96JW9
NM_001001852	PIM3_HUMAN	Q86V86
NM_001001872	CN037_HUMAN	Q86TY3
NM_001001888	VCX3B_HUMAN	Q9H321
NM_001001666	ANO7_HUMAN	Q6IWH7
NM_001001891	ANO7_HUMAN	Q6IWH7
NM_001001913	O52N1_HUMAN	Q8NH53
NM_001001914	OR2G3_HUMAN	Q8NGZ4
NM_001001915	OR2G2_HUMAN	Q8NGZ5
NM_001001916	O52J3_HUMAN	Q8NH60
NM_001001917	O56A1_HUMAN	Q8NGH5
NM_001001918	O14CZ_HUMAN	Q8NHC7
NM_001001919	O13C4_HUMAN	Q8NGS5
NM_001001920	OR4CF_HUMAN	Q8NGM1
NM_001001921	O5AS1_HUMAN	Q8N127
NM_001001922	O52N5_HUMAN	Q8NH56
NM_001001923	OR5C1_HUMAN	Q8NGR4
NM_001001952	OR5DI_HUMAN	Q8NGL1
NM_001001953	O10G9_HUMAN	Q8NGN4
NM_001001954	OR5A2_HUMAN	Q8NGI9
NM_001001955	OR4CD_HUMAN	Q8NGP0
NM_001001956	O13C9_HUMAN	Q8NGT0
NM_001001957	OR2W3_HUMAN	Q7Z3T1
NM_001001958	OR7G3_HUMAN	Q8NG95
NM_001001959	O11L1_HUMAN	Q8NGX0
NM_001001960	OR5W2_HUMAN	Q8NH69
NM_001001961	O13C3_HUMAN	Q8NGS6
NM_001001963	OR2L8_HUMAN	Q8NGY9
NM_001001964	O2T11_HUMAN	Q8NH01
NM_001001965	OR4D5_HUMAN	Q8NGN0
NM_001001966	O14AG_HUMAN	Q8NHC5
NM_001001967	OR5DD_HUMAN	Q8NGL4
NM_001001968	OR6S1_HUMAN	Q8NH40
NM_001001996	A0A024RBX1_HUMAN	A0A024RBX1
NM_001002019	E5KMT6_HUMAN	E5KMT6
NM_001002020	E5KMT6_HUMAN	E5KMT6
NM_001002034	SESQ2_HUMAN	Q6ICB4
NM_001002035	D108B_HUMAN	Q8NET1
NM_001002036	ASTL_HUMAN	Q6HA08
NM_001002231	A0A024R4N3_HUMAN	A0A024R4N3
NM_001002244	A0A024R8S1_HUMAN	A0A024R8S1
NM_001002254	AWAT2_HUMAN	Q6E213
NM_001002255	SUMO4_HUMAN	Q6EEV6
NM_001002269	Q9NYS3_HUMAN	Q9NYS3
NM_001002811	A0A0C4DFQ0_HUMAN	A0A0C4DFQ0
NM_001002812	A0A0A0MRL8_HUMAN	A0A0A0MRL8
NM_001002836	A0A087WUD1_HUMAN	A0A087WUD1
NM_001002836	ZN787_HUMAN	Q6DD87
NM_001002880	A0A087WUW0_HUMAN	A0A087WUW0
NM_001002905	OR8G1_HUMAN	Q15617
NM_001002907	OR8K1_HUMAN	Q8NGG5
NM_001002911	GP139_HUMAN	Q6DWJ6
NM_001002912	ERIC3_HUMAN	Q5RHP9
NM_001002913	PTH_HUMAN	Q86Y79
NM_001002914	KCD11_HUMAN	Q693B1
NM_001002916	H2BWT_HUMAN	Q7Z2G1
NM_001002917	OR8D1_HUMAN	Q8WZ84
NM_001002918	OR8D2_HUMAN	Q9GZM6
NM_001002919	F150B_HUMAN	Q6UX46
NM_001002923	IGFL4_HUMAN	Q6B9Z1
NM_001002925	O5AP2_HUMAN	Q8NGF4
NM_001002926	RPA43_HUMAN	Q3B726
NM_001003	A0A024R608_HUMAN	A0A024R608
NM_001003443	O56A3_HUMAN	Q8NH54
NM_001003665	STUM_HUMAN	Q69YW2
NM_001003681	Q7Z641_HUMAN	Q7Z641
NM_001003681	HMGX4_HUMAN	Q9UGU5
NM_001003693	LY66F_HUMAN	Q5SQ64
NM_001003702	ARG35_HUMAN	A5YM69
NM_001003712	Q5HYM3_HUMAN	Q5HYM3
NM_001003715	B3KQK2_HUMAN	B3KQK2
NM_001003716	A0A024R8S8_HUMAN	A0A024R8S8
NM_001003745	O10A3_HUMAN	P58181
NM_001003750	OR8I2_HUMAN	Q8N0Y5
NM_001003760	KLH31_HUMAN	Q9H511
NM_001003786	Q86YC8_HUMAN	Q86YC8
NM_001003795	GTD2B_HUMAN	Q6EKJ0
NM_001003799	A2JGV3_HUMAN	A2JGV3
NM_001003806	A2JGV3_HUMAN	A2JGV3
NM_001003806	Q0VGM3_HUMAN	Q0VGM3
NM_001003819	B2RNG4_HUMAN	B2RNG4
NM_001003841	S6A19_HUMAN	Q695T7
NM_001003845	SP5_HUMAN	Q6BEB4
NM_001003892	DUPD1_HUMAN	Q68J44
NM_001003937	TSYL6_HUMAN	Q8N831
NM_001003938	HBM_HUMAN	Q6B0K9
NM_001004	A0A024RCA7_HUMAN	A0A024RCA7
NM_001004	RLA2_HUMAN	P05387
NM_001004052	O52B2_HUMAN	Q96RD2
NM_001004058	OR8K5_HUMAN	Q8NH50
NM_001004059	OR4S2_HUMAN	Q8NH73
NM_001004063	OR4K1_HUMAN	Q8NGD4
NM_001004064	OR8J3_HUMAN	Q8NGG0
NM_001004067	NOMO3_HUMAN	P69849
NM_001004067	Q1LZN2_HUMAN	Q1LZN2
NM_001004124	OR4P4_HUMAN	Q8NGL7
NM_001004125	TUSC1_HUMAN	Q2TAM9
NM_001004127	ALG11_HUMAN	Q2TAA5
NM_001004134	O10AD_HUMAN	Q8NGE0
NM_001004135	A4D2G4_HUMAN	A4D2G4
NM_001004135	O2A12_HUMAN	Q8NGT7
NM_001004136	OR2T2_HUMAN	Q6IF00
NM_001004137	O52M1_HUMAN	Q8NGK5
NM_001004195	OR4F4_HUMAN	Q96R69
NM_001004297	O13A1_HUMAN	Q8NGR1
NM_001004298	CJ090_HUMAN	Q96M02
NM_001004301	ZN813_HUMAN	Q6ZN06
NM_001004303	CA168_HUMAN	Q5VWT5
NM_001004304	ZN740_HUMAN	Q8NDX6
NM_001004306	C144L_HUMAN	Q6NUI1
NM_001004308	ZCH16_HUMAN	Q6ZR62
NM_001004309	ZN774_HUMAN	Q6NX45
NM_001004311	FIGLA_HUMAN	Q6QHK4
NM_001004312	RTP2_HUMAN	Q5QGT7
NM_001004313	TM220_HUMAN	Q6QAJ8
NM_001004316	J3KP02_HUMAN	J3KP02
NM_001004317	LN28B_HUMAN	Q6ZN17
NM_001004318	PAPL_HUMAN	Q6ZNF0
NM_001004319	VHLL_HUMAN	Q6RSH7
NM_001004320	ALKMO_HUMAN	Q6ZNB7
NM_001004320	X5D773_HUMAN	X5D773
NM_001004323	CG061_HUMAN	Q8IZ16
NM_001004325	KRA52_HUMAN	Q701N4
NM_001004326	S22AK_HUMAN	A6NK97
NM_001004328	Z705A_HUMAN	Q6ZN79
NM_001004329	DBX2_HUMAN	Q6ZNG2
NM_001004330	PKHG7_HUMAN	Q6ZR37
NM_001004333	RNK_HUMAN	Q6P5S7
NM_001004334	A0A087X0K8_HUMAN	A0A087X0K8
NM_001004334	GP179_HUMAN	Q6PRD1
NM_001004341	ETV3L_HUMAN	Q6ZN32
NM_001004343	MLP3C_HUMAN	Q9BXW4
NM_001004351	SPDE3_HUMAN	A6NKU9
NM_001004352	DUTL_HUMAN	Q6ZN92
NM_001004354	NRARP_HUMAN	Q7Z6K4
NM_001004356	A0PJ49_HUMAN	A0PJ49
NM_001004360	B4DKB5_HUMAN	B4DKB5
NM_001004431	METRL_HUMAN	Q641Q3
NM_001004432	LIGO4_HUMAN	Q6UY18
NM_001004439	B3KTN6_HUMAN	B3KTN6
NM_001004439	ITA11_HUMAN	Q9UKX5
NM_001004441	AN34B_HUMAN	A5PLL1
NM_001004450	OR1B1_HUMAN	Q8NGR6
NM_001004451	OR1J1_HUMAN	Q8NGS3
NM_001004452	OR1J4_HUMAN	Q8NGS1
NM_001004453	A0A0C4DFP2_HUMAN	A0A0C4DFP2
NM_001004453	OR1L6_HUMAN	Q8NGR2
NM_001004454	OR1L8_HUMAN	Q8NGR8
NM_001004456	OR1M1_HUMAN	Q8NGA1
NM_001004457	OR1N2_HUMAN	Q8NGR9
NM_001004458	OR1S1_HUMAN	Q8NH92
NM_001004459	OR1S2_HUMAN	Q8NGQ3
NM_001004460	O10A2_HUMAN	Q9H208
NM_001004461	O10A6_HUMAN	Q8NH74
NM_001004462	O10G4_HUMAN	Q8NGN3
NM_001004463	O10G7_HUMAN	Q8NGN6
NM_001004464	O10G8_HUMAN	Q8NGN5
NM_001004465	O10H4_HUMAN	Q8NGA5
NM_001004466	O10H5_HUMAN	Q8NGA6
NM_001004467	O10J3_HUMAN	Q5JRS4
NM_001004469	O10J5_HUMAN	Q8NHC4
NM_001004470	SIA8F_HUMAN	P61647
NM_001004471	O10Q1_HUMAN	Q8NGQ4
NM_001004472	O10R2_HUMAN	Q8NGX6
NM_001004473	O10K1_HUMAN	Q8NGX5
NM_001004474	O10S1_HUMAN	Q8NGN2
NM_001004475	O10T2_HUMAN	Q8NGX3
NM_001004476	O10K2_HUMAN	Q6IF99
NM_001004477	O10X1_HUMAN	Q8NGY0
NM_001004478	O10Z1_HUMAN	Q8NGY1
NM_001004479	O11H4_HUMAN	Q8NGC9
NM_001004480	O11H6_HUMAN	Q8NGC7
NM_001004481	O13C2_HUMAN	Q8NGS9
NM_001004482	O13C5_HUMAN	Q8NGS8
NM_001004483	O13C8_HUMAN	Q8NGS7
NM_001004484	O13D1_HUMAN	Q8NGV5
NM_001004485	O13F1_HUMAN	Q8NGS4
NM_001004486	O13H1_HUMAN	Q8NG92
NM_001004487	O13J1_HUMAN	Q8NGT2
NM_001004488	O2A25_HUMAN	A4D2G3
NM_001004489	O2AG1_HUMAN	Q9H205
NM_001004490	O2AG2_HUMAN	A6NM03
NM_001004491	O2AK2_HUMAN	Q8NG84
NM_001004492	OR2BB_HUMAN	Q5JQS5
NM_001004684	OR2D3_HUMAN	Q8NGH3
NM_001004685	OR2F2_HUMAN	O95006
NM_001004686	OR2L2_HUMAN	Q8NH16
NM_001004687	OR2L3_HUMAN	Q8NG85
NM_001004688	OR2M2_HUMAN	Q96R28
NM_001004689	OR2M3_HUMAN	Q8NG83
NM_001004690	OR2M5_HUMAN	A3KFT3
NM_001004691	OR2M7_HUMAN	Q8NG81
NM_001004692	O2T12_HUMAN	Q8NG77
NM_001004693	O2T10_HUMAN	Q8NGZ9
NM_001004694	O2T29_HUMAN	Q8NH02
NM_001004695	O2T33_HUMAN	Q8NG76
NM_001004696	OR2T4_HUMAN	Q8NH00
NM_001004697	OR2T5_HUMAN	Q6IEZ7
NM_001004698	OR2W5_HUMAN	A6NFC9
NM_001004699	OR2Z1_HUMAN	Q8NG97
NM_001004700	OR4CB_HUMAN	Q6IEV9
NM_001004701	OR4CG_HUMAN	Q8NGL9
NM_001004702	OR4C3_HUMAN	Q8NH37
NM_001004703	O4C46_HUMAN	A6NHA9
NM_001004704	OR4C6_HUMAN	Q8NH72
NM_001004705	OR4DA_HUMAN	Q8NGI6
NM_001004706	OR4DB_HUMAN	Q8NGI4
NM_001004707	OR4D2_HUMAN	P58180
NM_001004708	OR4D6_HUMAN	Q8NGJ1
NM_001004711	OR4D9_HUMAN	Q8NGE8
NM_001004712	OR4KE_HUMAN	Q8NGD5
NM_001004713	OR1I1_HUMAN	O60431
NM_001004714	OR4KD_HUMAN	Q8NH42
NM_001004715	OR4KH_HUMAN	Q8NGC6
NM_001004717	OR4L1_HUMAN	Q8NH43
NM_001004719	OR4M2_HUMAN	Q8NGB6
NM_001004722	E7ERP6_HUMAN	E7ERP6
NM_001004723	OR4N2_HUMAN	Q8NGD1
NM_001004724	OR4N5_HUMAN	Q8IXE1
NM_001004725	OR4S1_HUMAN	Q8NGB4
NM_001004726	OR4X1_HUMAN	Q8NH49
NM_001004727	OR4X2_HUMAN	Q8NGF9
NM_001004728	OR5A1_HUMAN	Q8NGJ0
NM_001004729	O5AN1_HUMAN	Q8NGI8
NM_001004730	O5AR1_HUMAN	Q8NGP9
NM_001004731	O5AU1_HUMAN	Q8NGC0
NM_001004733	OR5BC_HUMAN	Q96R08
NM_001004734	O14I1_HUMAN	A6ND48
NM_001004735	OR5DE_HUMAN	Q8NGL3
NM_001004736	OR5K1_HUMAN	Q8NHB7
NM_001004737	OR5K2_HUMAN	Q8NHB8
NM_001004738	OR5L1_HUMAN	Q8NGL2
NM_001004739	OR5L2_HUMAN	Q8NGL0
NM_001004740	OR5M1_HUMAN	Q8NGP8
NM_001004741	OR5MA_HUMAN	Q6IEU7
NM_001004742	OR5M3_HUMAN	Q8NGP4
NM_001004743	OR5M9_HUMAN	Q8NGP3
NM_001004744	OR5R1_HUMAN	Q8NH85
NM_001004745	OR5T1_HUMAN	Q8NG75
NM_001004746	OR5T2_HUMAN	Q8NGG2
NM_001004747	OR5T3_HUMAN	Q8NGG3
NM_001004748	O51A2_HUMAN	Q8NGJ7
NM_001004749	O51A7_HUMAN	Q8NH64
NM_001004750	O51B6_HUMAN	Q9H340
NM_001004751	O51D1_HUMAN	Q8NGF3
NM_001004752	A6NLW9_HUMAN	A6NLW9
NM_001004753	O51F2_HUMAN	Q8NH61
NM_001004754	O51I2_HUMAN	Q9H344
NM_001004755	O51L1_HUMAN	Q8NGJ5
NM_001004756	B2RNI9_HUMAN	B2RNI9
NM_001004756	O51M1_HUMAN	Q9H341
NM_001004757	O51Q1_HUMAN	Q8NH59
NM_001004758	O51S1_HUMAN	Q8NGJ8
NM_001004759	A0A0C4DFX5_HUMAN	A0A0C4DFX5
NM_001004759	O51T1_HUMAN	Q8NGJ9
NM_001004760	O51V1_HUMAN	Q9H2C8
NM_001005160	O52A5_HUMAN	Q9H2C5
NM_001005161	O52B4_HUMAN	Q8NGK2
NM_001005162	O52B6_HUMAN	Q8NGF0
NM_001005163	O52D1_HUMAN	Q9H346
NM_001005164	O52E2_HUMAN	Q8NGJ4
NM_001005165	O52E4_HUMAN	Q8NGH9
NM_001005167	O52E6_HUMAN	Q96RD3
NM_001005168	O52E8_HUMAN	Q6IFG1
NM_001005169	O52I1_HUMAN	Q8NGK6
NM_001005170	O52I2_HUMAN	Q8NH67
NM_001005171	O52K1_HUMAN	Q8NGK4
NM_001005172	O52K2_HUMAN	Q8NGK3
NM_001005173	O52L1_HUMAN	Q8NGH7
NM_001005174	O52N2_HUMAN	Q8NGI0
NM_001005175	O52N4_HUMAN	Q8NGI2
NM_001005177	O52R1_HUMAN	Q8NGF1
NM_001005178	O52W1_HUMAN	Q6IF63
NM_001005179	O56A4_HUMAN	Q8NGH8
NM_001005180	O56B1_HUMAN	Q8NGI3
NM_001005181	O56B4_HUMAN	Q8NH76
NM_001005182	OR6C1_HUMAN	Q96RD1
NM_001005183	O6C76_HUMAN	A6NM76
NM_001005184	OR6K6_HUMAN	Q8NGW6
NM_001005185	OR6N1_HUMAN	Q8NGY5
NM_001005186	OR6Q1_HUMAN	Q8NGQ2
NM_001005187	OR6T1_HUMAN	Q8NGN1
NM_001005188	OR6X1_HUMAN	Q8NH79
NM_001005189	OR6Y1_HUMAN	Q8NGX8
NM_001005190	OR7AA_HUMAN	O76100
NM_001005191	OR7D4_HUMAN	Q8NG98
NM_001005192	OR7G1_HUMAN	Q8NGA0
NM_001005193	OR7G2_HUMAN	Q8NG99
NM_001005194	OR8A1_HUMAN	Q8NGG7
NM_001005195	OR8BC_HUMAN	Q8NGG6
NM_001005196	OR8B4_HUMAN	Q96RC9
NM_001005197	OR8D4_HUMAN	Q8NGM9
NM_001005198	OR8G5_HUMAN	Q8NG78
NM_001005199	OR8H1_HUMAN	Q8NGG4
NM_001005200	OR8H2_HUMAN	Q8N162
NM_001005201	OR8H3_HUMAN	Q8N146
NM_001005202	OR8K3_HUMAN	Q8NH51
NM_001005203	OR8S1_HUMAN	Q8NH09
NM_001005204	OR8U1_HUMAN	Q8NH10
NM_001005205	OR8J1_HUMAN	Q8NGP2
NM_001005210	LRC55_HUMAN	Q6ZSA7
NM_001005211	OR9I1_HUMAN	Q8NGQ6
NM_001005212	OR9Q1_HUMAN	Q8NGQ5
NM_001005213	OR9G1_HUMAN	Q8NH87
NM_001005214	LRC52_HUMAN	Q8N7C0
NM_001005216	OR2J3_HUMAN	O76001
NM_001005218	OR5BL_HUMAN	A6NL26
NM_001005226	OR2B3_HUMAN	O76000
NM_001005234	OR1L3_HUMAN	Q8NH93
NM_001005235	OR1L4_HUMAN	Q8NGR5
NM_001005236	A0A0B4J1S0_HUMAN	A0A0B4J1S0
NM_001005236	OR1L1_HUMAN	Q8NH94
NM_001005237	O51G1_HUMAN	Q8NGK1
NM_001005238	O51G2_HUMAN	Q8NGK0
NM_001005239	O11H1_HUMAN	Q8NG94
NM_001005240	O4F17_HUMAN	Q8NGA8
NM_001005241	OR4N4_HUMAN	Q8N0Y3
NM_001005243	OR9K2_HUMAN	Q8NGE7
NM_001005245	OR5MB_HUMAN	Q96RB7
NM_001005270	OR4CC_HUMAN	Q96R67
NM_001005272	OR4A5_HUMAN	Q8NH83
NM_001005274	O4A16_HUMAN	Q8NH70
NM_001005275	O4A15_HUMAN	Q8NGL6
NM_001005276	O2AE1_HUMAN	Q8NHA4
NM_001005221	OR4F3_HUMAN	Q6IEY1
NM_001005224	OR4F3_HUMAN	Q6IEY1
NM_001005277	OR4F3_HUMAN	Q6IEY1
NM_001005278	OR6N2_HUMAN	Q8NGY6
NM_001005279	OR6K2_HUMAN	Q8NGY2
NM_001005280	O10A7_HUMAN	Q8NGE5
NM_001005281	OR6B1_HUMAN	O95007
NM_001005282	OR5M8_HUMAN	Q8NGP6
NM_001005283	OR9Q2_HUMAN	Q8NGE9
NM_001005284	OR9G4_HUMAN	Q8NGQ1
NM_001005285	O2AT4_HUMAN	A6NND4
NM_001005286	OR6F1_HUMAN	Q8NGZ6
NM_001001802	OR2A1_HUMAN	Q8NGT9
NM_001005287	OR2A1_HUMAN	Q8NGT9
NM_001005288	O51I1_HUMAN	Q9H343
