P01023	A2MG_HUMAN	NM_000014
X5D7F5	X5D7F5_HUMAN	NM_000809
Q16445	GBRA6_HUMAN	NM_000811
P18505	GBRB1_HUMAN	NM_000812
X5DNL6	X5DNL6_HUMAN	NM_000812
A8K496	A8K496_HUMAN	NM_000815
O14764	GBRD_HUMAN	NM_000815
Q8IVA8	Q8IVA8_HUMAN	NM_000817
Q14393	GAS6_HUMAN	NM_000820
A0A090N8Y6	A0A090N8Y6_HUMAN	NM_000823
Q02643	GHRHR_HUMAN	NM_000823
Q13003	GRIK3_HUMAN	NM_000831
Q13224	NMDE2_HUMAN	NM_000834
O15398	O15398_HUMAN	NM_000835
Q14957	NMDE3_HUMAN	NM_000835
O15399	NMDE4_HUMAN	NM_000836
Q59G17	Q59G17_HUMAN	NM_000836
A4D1D0	A4D1D0_HUMAN	NM_000840
Q14832	GRM3_HUMAN	NM_000840
A1L4F9	A1L4F9_HUMAN	NM_000841
A8K5P7	A8K5P7_HUMAN	NM_000842
O15303	GRM6_HUMAN	NM_000843
Q59G95	Q59G95_HUMAN	NM_000844
A8K987	A8K987_HUMAN	NM_000846
P09210	GSTA2_HUMAN	NM_000846
Q16772	GSTA3_HUMAN	NM_000847
P21266	GSTM3_HUMAN	NM_000849
Q6FGJ9	Q6FGJ9_HUMAN	NM_000849
P46439	GSTM5_HUMAN	NM_000851
Q5T8R2	Q5T8R2_HUMAN	NM_000851
P09211	GSTP1_HUMAN	NM_000852
V9HWE9	V9HWE9_HUMAN	NM_000852
P0CG29	GST2_HUMAN	NM_000854
A0A024RAP2	A0A024RAP2_HUMAN	NM_000859
P14060	3BHS1_HUMAN	NM_000862
P28222	5HT1B_HUMAN	NM_000863
X5D7I5	X5D7I5_HUMAN	NM_000863
P28221	5HT1D_HUMAN	NM_000864
P28566	5HT1E_HUMAN	NM_000865
P30939	5HT1F_HUMAN	NM_000866
P41595	5HT2B_HUMAN	NM_000867
P50406	5HT6R_HUMAN	NM_000871
P11717	MPRI_HUMAN	NM_000876
P14784	IL2RB_HUMAN	NM_000878
P05113	IL5_HUMAN	NM_000879
O60595	O60595_HUMAN	NM_000882
P29459	IL12A_HUMAN	NM_000882
B3KRZ3	B3KRZ3_HUMAN	NM_000883
P12268	IMDH2_HUMAN	NM_000884
P13612	ITA4_HUMAN	NM_000885
P26010	ITB7_HUMAN	NM_000889
P48544	KCNJ5_HUMAN	NM_000890
P63252	KCNJ2_HUMAN	NM_000891
P03952	KLKB1_HUMAN	NM_000892
A0A0F7RQE6	A0A0F7RQE6_HUMAN	NM_000894
P01229	LSHB_HUMAN	NM_000894
A0A024R7J8	A0A024R7J8_HUMAN	NM_000896
P27338	AOFB_HUMAN	NM_000898
A0A024RBC0	A0A024RBC0_HUMAN	NM_000899
A0A024RAX0	A0A024RAX0_HUMAN	NM_000900
B0ZBF6	B0ZBF6_HUMAN	NM_000901
A4D158	A4D158_HUMAN	NM_000905
P01303	NPY_HUMAN	NM_000905
P16066	ANPRA_HUMAN	NM_000906
Q60I31	Q60I31_HUMAN	NM_000908
P25929	NPY1R_HUMAN	NM_000909
P49146	NPY2R_HUMAN	NM_000910
P41143	OPRD_HUMAN	NM_000911
P01178	NEU1_HUMAN	NM_000915
X5D7M6	X5D7M6_HUMAN	NM_000915
B2R9L7	B2R9L7_HUMAN	NM_000916
P30559	OXYR_HUMAN	NM_000916
Q5VSQ6	Q5VSQ6_HUMAN	NM_000917
A0A024R8S5	A0A024R8S5_HUMAN	NM_000918
P07237	PDIA1_HUMAN	NM_000918
Q14432	PDE3A_HUMAN	NM_000921
A7E2E5	A7E2E5_HUMAN	NM_000922
Q13370	PDE3B_HUMAN	NM_000922
O43849	O43849_HUMAN	NM_000923
A0A024RB59	A0A024RB59_HUMAN	NM_000924
A4D1D2	A4D1D2_HUMAN	NM_000927
P08183	MDR1_HUMAN	NM_000927
P04054	PA21B_HUMAN	NM_000928
P39877	PA2G5_HUMAN	NM_000929
P16233	LIPP_HUMAN	NM_000936
A0A0C4DGZ0	A0A0C4DGZ0_HUMAN	NM_000937
P24928	RPB1_HUMAN	NM_000937
Q6FHC8	Q6FHC8_HUMAN	NM_000939
Q15166	PON3_HUMAN	NM_000940
P16435	NCPR_HUMAN	NM_000941
P23284	PPIB_HUMAN	NM_000942
P45877	PPIC_HUMAN	NM_000943
P63098	CANB1_HUMAN	NM_000945
P49642	PRI1_HUMAN	NM_000946
O14669	TMG2_HUMAN	NM_000951
A0A024R8G3	A0A024R8G3_HUMAN	NM_000954
P41222	PTGDS_HUMAN	NM_000954
P34995	PE2R1_HUMAN	NM_000955
P43116	PE2R2_HUMAN	NM_000956
A0PJF5	A0PJF5_HUMAN	NM_000958
P35408	PE2R4_HUMAN	NM_000958
P43119	PI2R_HUMAN	NM_000960
Q16647	PTGIS_HUMAN	NM_000961
P35354	PGH2_HUMAN	NM_000963
A8K3H3	A8K3H3_HUMAN	NM_000966
P39023	RL3_HUMAN	NM_000967
P36578	RL4_HUMAN	NM_000968
A2RUM7	A2RUM7_HUMAN	NM_000969
P46777	RL5_HUMAN	NM_000969
P18124	RL7_HUMAN	NM_000971
P62424	RL7A_HUMAN	NM_000972
Q5VVD0	Q5VVD0_HUMAN	NM_000975
P30050	RL12_HUMAN	NM_000976
A0A024R1Q8	A0A024R1Q8_HUMAN	NM_000978
P62829	RL23_HUMAN	NM_000978
A0A024QZD1	A0A024QZD1_HUMAN	NM_000979
Q02543	RL18A_HUMAN	NM_000980
P84098	RL19_HUMAN	NM_000981
P46778	RL21_HUMAN	NM_000982
Q6IAX2	Q6IAX2_HUMAN	NM_000982
P35268	RL22_HUMAN	NM_000983
P62750	RL23A_HUMAN	NM_000984
P83731	RL24_HUMAN	NM_000986
V9HW01	V9HW01_HUMAN	NM_000986
P61254	RL26_HUMAN	NM_000987
A0A024R1V4	A0A024R1V4_HUMAN	NM_000988
P61353	RL27_HUMAN	NM_000988
A0A024R9D3	A0A024R9D3_HUMAN	NM_000989
P62888	RL30_HUMAN	NM_000989
P46776	RL27A_HUMAN	NM_000990
P47914	RL29_HUMAN	NM_000992
P18077	RL35A_HUMAN	NM_000996
P61927	RL37_HUMAN	NM_000997
P61513	RL37A_HUMAN	NM_000998
P62891	RL39_HUMAN	NM_001000
Q969Q0	RL36L_HUMAN	NM_001001
Q8IYP2	PRS58_HUMAN	NM_001001317
M1EY23	M1EY23_HUMAN	NM_001001325
Q6IE38	ISK14_HUMAN	NM_001001325
Q6NUK4	REEP3_HUMAN	NM_001001330
X5DR89	X5DR89_HUMAN	NM_001001330
A0A024R2K6	A0A024R2K6_HUMAN	NM_001001331
Q4J699	Q4J699_HUMAN	NM_001001331
Q8TBE3	FNDC9_HUMAN	NM_001001343
P56880	CLD20_HUMAN	NM_001001346
Q8WWF6	DNJB3_HUMAN	NM_001001394
Q9UJK0	TSR3_HUMAN	NM_001001410
Q8N7Q3	ZN676_HUMAN	NM_001001411
Q8IU99	CAHM1_HUMAN	NM_001001412
A0A087WU96	A0A087WU96_HUMAN	NM_001001413
Q6ZVX7	FBX50_HUMAN	NM_001001414
Q86V71	ZN429_HUMAN	NM_001001415
A6NDS4	TBC3B_HUMAN	NM_001001417
A0A0A0MRJ5	A0A0A0MRJ5_HUMAN	NM_001001432
Q15607	Q15607_HUMAN	NM_001001432
Q6PH81	CP087_HUMAN	NM_001001436
Q6ICL7	S35E4_HUMAN	NM_001001479
Q701N2	KRA55_HUMAN	NM_001001480
X6REH9	X6REH9_HUMAN	NM_001001481
F1D8P6	F1D8P6_HUMAN	NM_001001523
Q8N8A7	Q8N8A7_HUMAN	NM_001001524
Q9BZW4	TM6S2_HUMAN	NM_001001524
Q6KF10	GDF6_HUMAN	NM_001001557
A0A024R0M6	A0A024R0M6_HUMAN	NM_001001563
Q3ZCQ8	TIM50_HUMAN	NM_001001563
Q8NGU2	OR9A4_HUMAN	NM_001001656
Q8NGV0	OR2Y1_HUMAN	NM_001001657
Q8NGT5	OR9A2_HUMAN	NM_001001658
Q96R47	O2A14_HUMAN	NM_001001659
Q6IPR1	LYRM5_HUMAN	NM_001001660
A0A090N7U3	A0A090N7U3_HUMAN	NM_001001661
Q6IV72	ZN425_HUMAN	NM_001001661
Q6ZMW2	ZN782_HUMAN	NM_001001662
A0A0C4DG04	A0A0C4DG04_HUMAN	NM_001001663
Q6ICI0	TM211_HUMAN	NM_001001663
Q6IQ16	SPOPL_HUMAN	NM_001001664
A0A024RAI7	A0A024RAI7_HUMAN	NM_001001665
Q4G0S4	C27C1_HUMAN	NM_001001665
Q8N148	OR6V1_HUMAN	NM_001001667
Q6ECI4	ZN470_HUMAN	NM_001001668
A1IGU5	ARH37_HUMAN	NM_001001669
Q6ZQQ2	S31D1_HUMAN	NM_001001670
Q6ZN16	M3K15_HUMAN	NM_001001671
Q8NGB8	O4F15_HUMAN	NM_001001674
Q8WX39	LCN9_HUMAN	NM_001001676
V9HWI8	V9HWI8_HUMAN	NM_001001676
Q6ZVW7	I17EL_HUMAN	NM_001001694
A2RU37	CI170_HUMAN	NM_001001709
Q6J272	F166A_HUMAN	NM_001001710
Q8WTU0	DDI1_HUMAN	NM_001001711
Q6JVE6	LCN10_HUMAN	NM_001001712
Q8IZY5	BLID_HUMAN	NM_001001786
Q6H3X3	RET1G_HUMAN	NM_001001788
Q5SWW7	CJ055_HUMAN	NM_001001791
Q8NEG7	DEN6B_HUMAN	NM_001001794
Q6P1X6	CH082_HUMAN	NM_001001795
Q8NGX1	O2T34_HUMAN	NM_001001821
Q8NH04	O2T27_HUMAN	NM_001001824
Q8NGX2	O2T35_HUMAN	NM_001001827
Q8N4C7	STX19_HUMAN	NM_001001850
G5E9D8	G5E9D8_HUMAN	NM_001001851
Q96JW9	Q96JW9_HUMAN	NM_001001851
Q86V86	PIM3_HUMAN	NM_001001852
Q86TY3	CN037_HUMAN	NM_001001872
Q9H321	VCX3B_HUMAN	NM_001001888
Q6IWH7	ANO7_HUMAN	NM_001001666,NM_001001891
Q8NH53	O52N1_HUMAN	NM_001001913
Q8NGZ4	OR2G3_HUMAN	NM_001001914
Q8NGZ5	OR2G2_HUMAN	NM_001001915
Q8NH60	O52J3_HUMAN	NM_001001916
Q8NGH5	O56A1_HUMAN	NM_001001917
Q8NHC7	O14CZ_HUMAN	NM_001001918
Q8NGS5	O13C4_HUMAN	NM_001001919
Q8NGM1	OR4CF_HUMAN	NM_001001920
Q8N127	O5AS1_HUMAN	NM_001001921
Q8NH56	O52N5_HUMAN	NM_001001922
Q8NGR4	OR5C1_HUMAN	NM_001001923
Q8NGL1	OR5DI_HUMAN	NM_001001952
Q8NGN4	O10G9_HUMAN	NM_001001953
Q8NGI9	OR5A2_HUMAN	NM_001001954
Q8NGP0	OR4CD_HUMAN	NM_001001955
Q8NGT0	O13C9_HUMAN	NM_001001956
Q7Z3T1	OR2W3_HUMAN	NM_001001957
Q8NG95	OR7G3_HUMAN	NM_001001958
Q8NGX0	O11L1_HUMAN	NM_001001959
Q8NH69	OR5W2_HUMAN	NM_001001960
Q8NGS6	O13C3_HUMAN	NM_001001961
Q8NGY9	OR2L8_HUMAN	NM_001001963
Q8NH01	O2T11_HUMAN	NM_001001964
Q8NGN0	OR4D5_HUMAN	NM_001001965
Q8NHC5	O14AG_HUMAN	NM_001001966
Q8NGL4	OR5DD_HUMAN	NM_001001967
Q8NH40	OR6S1_HUMAN	NM_001001968
A0A024RBX1	A0A024RBX1_HUMAN	NM_001001996
E5KMT6	E5KMT6_HUMAN	NM_001002019,NM_001002020
Q6ICB4	SESQ2_HUMAN	NM_001002034
Q8NET1	D108B_HUMAN	NM_001002035
Q6HA08	ASTL_HUMAN	NM_001002036
A0A024R4N3	A0A024R4N3_HUMAN	NM_001002231
A0A024R8S1	A0A024R8S1_HUMAN	NM_001002244
Q6E213	AWAT2_HUMAN	NM_001002254
Q6EEV6	SUMO4_HUMAN	NM_001002255
Q9NYS3	Q9NYS3_HUMAN	NM_001002269
A0A0C4DFQ0	A0A0C4DFQ0_HUMAN	NM_001002811
A0A0A0MRL8	A0A0A0MRL8_HUMAN	NM_001002812
A0A087WUD1	A0A087WUD1_HUMAN	NM_001002836
Q6DD87	ZN787_HUMAN	NM_001002836
A0A087WUW0	A0A087WUW0_HUMAN	NM_001002880
Q15617	OR8G1_HUMAN	NM_001002905
Q8NGG5	OR8K1_HUMAN	NM_001002907
Q6DWJ6	GP139_HUMAN	NM_001002911
Q5RHP9	ERIC3_HUMAN	NM_001002912
Q86Y79	PTH_HUMAN	NM_001002913
Q693B1	KCD11_HUMAN	NM_001002914
Q7Z2G1	H2BWT_HUMAN	NM_001002916
Q8WZ84	OR8D1_HUMAN	NM_001002917
Q9GZM6	OR8D2_HUMAN	NM_001002918
Q6UX46	F150B_HUMAN	NM_001002919
Q6B9Z1	IGFL4_HUMAN	NM_001002923
Q8NGF4	O5AP2_HUMAN	NM_001002925
Q3B726	RPA43_HUMAN	NM_001002926
A0A024R608	A0A024R608_HUMAN	NM_001003
Q8NH54	O56A3_HUMAN	NM_001003443
Q69YW2	STUM_HUMAN	NM_001003665
Q7Z641	Q7Z641_HUMAN	NM_001003681
Q9UGU5	HMGX4_HUMAN	NM_001003681
Q5SQ64	LY66F_HUMAN	NM_001003693
A5YM69	ARG35_HUMAN	NM_001003702
Q5HYM3	Q5HYM3_HUMAN	NM_001003712
B3KQK2	B3KQK2_HUMAN	NM_001003715
A0A024R8S8	A0A024R8S8_HUMAN	NM_001003716
P58181	O10A3_HUMAN	NM_001003745
Q8N0Y5	OR8I2_HUMAN	NM_001003750
Q9H511	KLH31_HUMAN	NM_001003760
Q86YC8	Q86YC8_HUMAN	NM_001003786
Q6EKJ0	GTD2B_HUMAN	NM_001003795
A2JGV3	A2JGV3_HUMAN	NM_001003799,NM_001003806
Q0VGM3	Q0VGM3_HUMAN	NM_001003806
B2RNG4	B2RNG4_HUMAN	NM_001003819
Q695T7	S6A19_HUMAN	NM_001003841
Q6BEB4	SP5_HUMAN	NM_001003845
Q68J44	DUPD1_HUMAN	NM_001003892
Q8N831	TSYL6_HUMAN	NM_001003937
Q6B0K9	HBM_HUMAN	NM_001003938
A0A024RCA7	A0A024RCA7_HUMAN	NM_001004
P05387	RLA2_HUMAN	NM_001004
Q96RD2	O52B2_HUMAN	NM_001004052
Q8NH50	OR8K5_HUMAN	NM_001004058
Q8NH73	OR4S2_HUMAN	NM_001004059
Q8NGD4	OR4K1_HUMAN	NM_001004063
Q8NGG0	OR8J3_HUMAN	NM_001004064
P69849	NOMO3_HUMAN	NM_001004067
Q1LZN2	Q1LZN2_HUMAN	NM_001004067
Q8NGL7	OR4P4_HUMAN	NM_001004124
Q2TAM9	TUSC1_HUMAN	NM_001004125
Q2TAA5	ALG11_HUMAN	NM_001004127
Q8NGE0	O10AD_HUMAN	NM_001004134
A4D2G4	A4D2G4_HUMAN	NM_001004135
Q8NGT7	O2A12_HUMAN	NM_001004135
Q6IF00	OR2T2_HUMAN	NM_001004136
Q8NGK5	O52M1_HUMAN	NM_001004137
Q96R69	OR4F4_HUMAN	NM_001004195
Q8NGR1	O13A1_HUMAN	NM_001004297
Q96M02	CJ090_HUMAN	NM_001004298
Q6ZN06	ZN813_HUMAN	NM_001004301
Q5VWT5	CA168_HUMAN	NM_001004303
Q8NDX6	ZN740_HUMAN	NM_001004304
Q6NUI1	C144L_HUMAN	NM_001004306
Q6ZR62	ZCH16_HUMAN	NM_001004308
Q6NX45	ZN774_HUMAN	NM_001004309
Q6QHK4	FIGLA_HUMAN	NM_001004311
Q5QGT7	RTP2_HUMAN	NM_001004312
Q6QAJ8	TM220_HUMAN	NM_001004313
J3KP02	J3KP02_HUMAN	NM_001004316
Q6ZN17	LN28B_HUMAN	NM_001004317
Q6ZNF0	PAPL_HUMAN	NM_001004318
Q6RSH7	VHLL_HUMAN	NM_001004319
Q6ZNB7	ALKMO_HUMAN	NM_001004320
X5D773	X5D773_HUMAN	NM_001004320
Q8IZ16	CG061_HUMAN	NM_001004323
Q701N4	KRA52_HUMAN	NM_001004325
A6NK97	S22AK_HUMAN	NM_001004326
Q6ZN79	Z705A_HUMAN	NM_001004328
Q6ZNG2	DBX2_HUMAN	NM_001004329
Q6ZR37	PKHG7_HUMAN	NM_001004330
Q6P5S7	RNK_HUMAN	NM_001004333
A0A087X0K8	A0A087X0K8_HUMAN	NM_001004334
Q6PRD1	GP179_HUMAN	NM_001004334
Q6ZN32	ETV3L_HUMAN	NM_001004341
Q9BXW4	MLP3C_HUMAN	NM_001004343
A6NKU9	SPDE3_HUMAN	NM_001004351
Q6ZN92	DUTL_HUMAN	NM_001004352
Q7Z6K4	NRARP_HUMAN	NM_001004354
A0PJ49	A0PJ49_HUMAN	NM_001004356
B4DKB5	B4DKB5_HUMAN	NM_001004360
Q641Q3	METRL_HUMAN	NM_001004431
Q6UY18	LIGO4_HUMAN	NM_001004432
B3KTN6	B3KTN6_HUMAN	NM_001004439
Q9UKX5	ITA11_HUMAN	NM_001004439
A5PLL1	AN34B_HUMAN	NM_001004441
Q8NGR6	OR1B1_HUMAN	NM_001004450
Q8NGS3	OR1J1_HUMAN	NM_001004451
Q8NGS1	OR1J4_HUMAN	NM_001004452
A0A0C4DFP2	A0A0C4DFP2_HUMAN	NM_001004453
Q8NGR2	OR1L6_HUMAN	NM_001004453
Q8NGR8	OR1L8_HUMAN	NM_001004454
Q8NGA1	OR1M1_HUMAN	NM_001004456
Q8NGR9	OR1N2_HUMAN	NM_001004457
Q8NH92	OR1S1_HUMAN	NM_001004458
Q8NGQ3	OR1S2_HUMAN	NM_001004459
Q9H208	O10A2_HUMAN	NM_001004460
Q8NH74	O10A6_HUMAN	NM_001004461
Q8NGN3	O10G4_HUMAN	NM_001004462
Q8NGN6	O10G7_HUMAN	NM_001004463
Q8NGN5	O10G8_HUMAN	NM_001004464
Q8NGA5	O10H4_HUMAN	NM_001004465
Q8NGA6	O10H5_HUMAN	NM_001004466
Q5JRS4	O10J3_HUMAN	NM_001004467
Q8NHC4	O10J5_HUMAN	NM_001004469
P61647	SIA8F_HUMAN	NM_001004470
Q8NGQ4	O10Q1_HUMAN	NM_001004471
Q8NGX6	O10R2_HUMAN	NM_001004472
Q8NGX5	O10K1_HUMAN	NM_001004473
Q8NGN2	O10S1_HUMAN	NM_001004474
Q8NGX3	O10T2_HUMAN	NM_001004475
Q6IF99	O10K2_HUMAN	NM_001004476
Q8NGY0	O10X1_HUMAN	NM_001004477
Q8NGY1	O10Z1_HUMAN	NM_001004478
Q8NGC9	O11H4_HUMAN	NM_001004479
Q8NGC7	O11H6_HUMAN	NM_001004480
Q8NGS9	O13C2_HUMAN	NM_001004481
Q8NGS8	O13C5_HUMAN	NM_001004482
Q8NGS7	O13C8_HUMAN	NM_001004483
Q8NGV5	O13D1_HUMAN	NM_001004484
Q8NGS4	O13F1_HUMAN	NM_001004485
Q8NG92	O13H1_HUMAN	NM_001004486
Q8NGT2	O13J1_HUMAN	NM_001004487
A4D2G3	O2A25_HUMAN	NM_001004488
Q9H205	O2AG1_HUMAN	NM_001004489
A6NM03	O2AG2_HUMAN	NM_001004490
Q8NG84	O2AK2_HUMAN	NM_001004491
Q5JQS5	OR2BB_HUMAN	NM_001004492
Q8NGH3	OR2D3_HUMAN	NM_001004684
O95006	OR2F2_HUMAN	NM_001004685
Q8NH16	OR2L2_HUMAN	NM_001004686
Q8NG85	OR2L3_HUMAN	NM_001004687
Q96R28	OR2M2_HUMAN	NM_001004688
Q8NG83	OR2M3_HUMAN	NM_001004689
A3KFT3	OR2M5_HUMAN	NM_001004690
Q8NG81	OR2M7_HUMAN	NM_001004691
Q8NG77	O2T12_HUMAN	NM_001004692
Q8NGZ9	O2T10_HUMAN	NM_001004693
Q8NH02	O2T29_HUMAN	NM_001004694
Q8NG76	O2T33_HUMAN	NM_001004695
Q8NH00	OR2T4_HUMAN	NM_001004696
Q6IEZ7	OR2T5_HUMAN	NM_001004697
A6NFC9	OR2W5_HUMAN	NM_001004698
Q8NG97	OR2Z1_HUMAN	NM_001004699
Q6IEV9	OR4CB_HUMAN	NM_001004700
Q8NGL9	OR4CG_HUMAN	NM_001004701
Q8NH37	OR4C3_HUMAN	NM_001004702
A6NHA9	O4C46_HUMAN	NM_001004703
Q8NH72	OR4C6_HUMAN	NM_001004704
Q8NGI6	OR4DA_HUMAN	NM_001004705
Q8NGI4	OR4DB_HUMAN	NM_001004706
P58180	OR4D2_HUMAN	NM_001004707
Q8NGJ1	OR4D6_HUMAN	NM_001004708
Q8NGE8	OR4D9_HUMAN	NM_001004711
Q8NGD5	OR4KE_HUMAN	NM_001004712
O60431	OR1I1_HUMAN	NM_001004713
Q8NH42	OR4KD_HUMAN	NM_001004714
Q8NGC6	OR4KH_HUMAN	NM_001004715
Q8NH43	OR4L1_HUMAN	NM_001004717
Q8NGB6	OR4M2_HUMAN	NM_001004719
E7ERP6	E7ERP6_HUMAN	NM_001004722
Q8NGD1	OR4N2_HUMAN	NM_001004723
Q8IXE1	OR4N5_HUMAN	NM_001004724
Q8NGB4	OR4S1_HUMAN	NM_001004725
Q8NH49	OR4X1_HUMAN	NM_001004726
Q8NGF9	OR4X2_HUMAN	NM_001004727
Q8NGJ0	OR5A1_HUMAN	NM_001004728
Q8NGI8	O5AN1_HUMAN	NM_001004729
Q8NGP9	O5AR1_HUMAN	NM_001004730
Q8NGC0	O5AU1_HUMAN	NM_001004731
Q96R08	OR5BC_HUMAN	NM_001004733
A6ND48	O14I1_HUMAN	NM_001004734
Q8NGL3	OR5DE_HUMAN	NM_001004735
Q8NHB7	OR5K1_HUMAN	NM_001004736
Q8NHB8	OR5K2_HUMAN	NM_001004737
Q8NGL2	OR5L1_HUMAN	NM_001004738
Q8NGL0	OR5L2_HUMAN	NM_001004739
Q8NGP8	OR5M1_HUMAN	NM_001004740
Q6IEU7	OR5MA_HUMAN	NM_001004741
Q8NGP4	OR5M3_HUMAN	NM_001004742
Q8NGP3	OR5M9_HUMAN	NM_001004743
Q8NH85	OR5R1_HUMAN	NM_001004744
Q8NG75	OR5T1_HUMAN	NM_001004745
Q8NGG2	OR5T2_HUMAN	NM_001004746
Q8NGG3	OR5T3_HUMAN	NM_001004747
Q8NGJ7	O51A2_HUMAN	NM_001004748
Q8NH64	O51A7_HUMAN	NM_001004749
Q9H340	O51B6_HUMAN	NM_001004750
Q8NGF3	O51D1_HUMAN	NM_001004751
A6NLW9	A6NLW9_HUMAN	NM_001004752
Q8NH61	O51F2_HUMAN	NM_001004753
Q9H344	O51I2_HUMAN	NM_001004754
Q8NGJ5	O51L1_HUMAN	NM_001004755
B2RNI9	B2RNI9_HUMAN	NM_001004756
Q9H341	O51M1_HUMAN	NM_001004756
Q8NH59	O51Q1_HUMAN	NM_001004757
Q8NGJ8	O51S1_HUMAN	NM_001004758
A0A0C4DFX5	A0A0C4DFX5_HUMAN	NM_001004759
Q8NGJ9	O51T1_HUMAN	NM_001004759
Q9H2C8	O51V1_HUMAN	NM_001004760
Q9H2C5	O52A5_HUMAN	NM_001005160
Q8NGK2	O52B4_HUMAN	NM_001005161
Q8NGF0	O52B6_HUMAN	NM_001005162
Q9H346	O52D1_HUMAN	NM_001005163
Q8NGJ4	O52E2_HUMAN	NM_001005164
Q8NGH9	O52E4_HUMAN	NM_001005165
Q96RD3	O52E6_HUMAN	NM_001005167
Q6IFG1	O52E8_HUMAN	NM_001005168
Q8NGK6	O52I1_HUMAN	NM_001005169
Q8NH67	O52I2_HUMAN	NM_001005170
Q8NGK4	O52K1_HUMAN	NM_001005171
Q8NGK3	O52K2_HUMAN	NM_001005172
Q8NGH7	O52L1_HUMAN	NM_001005173
Q8NGI0	O52N2_HUMAN	NM_001005174
Q8NGI2	O52N4_HUMAN	NM_001005175
Q8NGF1	O52R1_HUMAN	NM_001005177
Q6IF63	O52W1_HUMAN	NM_001005178
Q8NGH8	O56A4_HUMAN	NM_001005179
Q8NGI3	O56B1_HUMAN	NM_001005180
Q8NH76	O56B4_HUMAN	NM_001005181
Q96RD1	OR6C1_HUMAN	NM_001005182
A6NM76	O6C76_HUMAN	NM_001005183
Q8NGW6	OR6K6_HUMAN	NM_001005184
Q8NGY5	OR6N1_HUMAN	NM_001005185
Q8NGQ2	OR6Q1_HUMAN	NM_001005186
Q8NGN1	OR6T1_HUMAN	NM_001005187
Q8NH79	OR6X1_HUMAN	NM_001005188
Q8NGX8	OR6Y1_HUMAN	NM_001005189
O76100	OR7AA_HUMAN	NM_001005190
Q8NG98	OR7D4_HUMAN	NM_001005191
Q8NGA0	OR7G1_HUMAN	NM_001005192
Q8NG99	OR7G2_HUMAN	NM_001005193
Q8NGG7	OR8A1_HUMAN	NM_001005194
Q8NGG6	OR8BC_HUMAN	NM_001005195
Q96RC9	OR8B4_HUMAN	NM_001005196
Q8NGM9	OR8D4_HUMAN	NM_001005197
Q8NG78	OR8G5_HUMAN	NM_001005198
Q8NGG4	OR8H1_HUMAN	NM_001005199
Q8N162	OR8H2_HUMAN	NM_001005200
Q8N146	OR8H3_HUMAN	NM_001005201
Q8NH51	OR8K3_HUMAN	NM_001005202
Q8NH09	OR8S1_HUMAN	NM_001005203
Q8NH10	OR8U1_HUMAN	NM_001005204
Q8NGP2	OR8J1_HUMAN	NM_001005205
Q6ZSA7	LRC55_HUMAN	NM_001005210
Q8NGQ6	OR9I1_HUMAN	NM_001005211
Q8NGQ5	OR9Q1_HUMAN	NM_001005212
Q8NH87	OR9G1_HUMAN	NM_001005213
Q8N7C0	LRC52_HUMAN	NM_001005214
O76001	OR2J3_HUMAN	NM_001005216
A6NL26	OR5BL_HUMAN	NM_001005218
O76000	OR2B3_HUMAN	NM_001005226
Q8NH93	OR1L3_HUMAN	NM_001005234
Q8NGR5	OR1L4_HUMAN	NM_001005235
A0A0B4J1S0	A0A0B4J1S0_HUMAN	NM_001005236
Q8NH94	OR1L1_HUMAN	NM_001005236
Q8NGK1	O51G1_HUMAN	NM_001005237
Q8NGK0	O51G2_HUMAN	NM_001005238
Q8NG94	O11H1_HUMAN	NM_001005239
Q8NGA8	O4F17_HUMAN	NM_001005240
Q8N0Y3	OR4N4_HUMAN	NM_001005241
Q8NGE7	OR9K2_HUMAN	NM_001005243
Q96RB7	OR5MB_HUMAN	NM_001005245
Q96R67	OR4CC_HUMAN	NM_001005270
Q8NH83	OR4A5_HUMAN	NM_001005272
Q8NH70	O4A16_HUMAN	NM_001005274
Q8NGL6	O4A15_HUMAN	NM_001005275
Q8NHA4	O2AE1_HUMAN	NM_001005276
Q6IEY1	OR4F3_HUMAN	NM_001005221,NM_001005224,NM_001005277
Q8NGY6	OR6N2_HUMAN	NM_001005278
Q8NGY2	OR6K2_HUMAN	NM_001005279
Q8NGE5	O10A7_HUMAN	NM_001005280
O95007	OR6B1_HUMAN	NM_001005281
Q8NGP6	OR5M8_HUMAN	NM_001005282
Q8NGE9	OR9Q2_HUMAN	NM_001005283
Q8NGQ1	OR9G4_HUMAN	NM_001005284
A6NND4	O2AT4_HUMAN	NM_001005285
Q8NGZ6	OR6F1_HUMAN	NM_001005286
Q8NGT9	OR2A1_HUMAN	NM_001001802,NM_001005287
Q9H343	O51I1_HUMAN	NM_001005288
Q8NGJ2	O52H1_HUMAN	NM_001005289
Q8NH90	O5AK2_HUMAN	NM_001005323
Q8NGI7	O10V1_HUMAN	NM_001005324
Q8NGM8	OR6M1_HUMAN	NM_001005325
Q8NGB9	OR4F6_HUMAN	NM_001005326
A0A0C4DFU5	A0A0C4DFU5_HUMAN	NM_001005327
Q8NGY3	OR6K3_HUMAN	NM_001005327
Q96R45	OR2A7_HUMAN	NM_001005328
Q8NGJ6	O51A4_HUMAN	NM_001005329
A0A024R952	A0A024R952_HUMAN	NM_001005337
